# Закон Ципфа
# Rank	Frequency	Term	Zipf_Theoretical
645	5979	busch	2132.32
646	5970	räikkönen	2129.02
647	5938	david	2125.72
648	5935	fuel	2122.44
649	5930	automobile	2119.17
650	5921	cc	2115.91
651	5919	co	2112.66
652	5913	гонщик	2109.42
653	5908	go	2106.19
654	5900	класс	2102.97
655	5897	посл	2099.76
656	5889	west	2096.56
657	5883	victoria	2093.37
658	5869	isbn	2090.19
659	5855	dist	2087.02
660	5850	такж	2083.85
661	5848	от	2080.70
662	5843	indycar	2077.56
663	5835	29	2074.43
664	5835	japan	2071.30
665	5822	loc	2068.19
666	5813	her	2065.08
667	5792	differ	2061.99
668	5781	ita	2058.90
669	5779	short	2055.82
670	5769	litre	2052.75
671	5768	англ	2049.69
672	5761	ab	2046.64
673	5727	force	2043.60
674	5717	around	2040.57
675	5713	senna	2037.55
676	5690	crew	2034.53
677	5686	очк	2031.53
678	5668	prost	2028.53
679	5663	limit	2025.54
680	5640	head	2022.56
681	5636	safety	2019.59
682	5617	market	2016.63
683	5609	seventh	2013.68
684	5609	sponsor	2010.74
685	5598	zur	2007.80
686	5583	factory	2004.87
687	5564	alongside	2001.96
688	5560	europe	1999.05
689	5546	statist	1996.15
690	5531	contest	1993.25
691	5529	к	1990.37
692	5499	ndie	1987.49
693	5493	сво	1984.62
694	5481	japanese	1981.76
695	5468	1987	1978.91
696	5457	da	1976.07
697	5457	dass	1973.23
698	5447	plac	1970.41
699	5445	rookie	1967.59
700	5443	many	1964.78
701	5438	able	1961.97
702	5402	1000	1959.18
703	5393	monaco	1956.39
704	5384	score	1953.61
705	5378	1985	1950.84
706	5371	250	1948.08
707	5364	nam	1945.32
708	5357	wie	1942.58
709	5351	attempt	1939.84
710	5343	releas	1937.10
711	5333	oval	1934.38
712	5307	summary	1931.66
713	5296	featur	1928.95
714	5289	finishe	1926.25
715	5279	france	1923.56
716	5273	nnote	1920.87
717	5268	nen	1918.19
718	5258	runden	1915.52
719	5255	oper	1912.86
720	5253	zweiten	1910.20
721	5239	schedule	1907.55
722	5226	category	1904.91
723	5217	1986	1902.27
724	5187	east	1899.65
725	5167	wrc	1897.03
726	5161	control	1894.41
727	5144	mid	1891.81
728	5137	seinem	1889.21
729	5135	lit	1886.62
730	5131	furth	1884.03
731	5130	suff	1881.46
732	5128	maserati	1878.89
733	5120	near	1876.32
734	5120	introduc	1873.77
735	5100	40	1871.22
736	5099	motocross	1868.67
737	5096	31	1866.14
738	5082	unt	1863.61
739	5078	año	1861.09
740	5075	life	1858.57
741	5063	seinen	1856.06
742	5060	1984	1853.56
743	5056	1950	1851.07
744	5041	problem	1848.58
745	5038	these	1846.10
746	5026	germany	1843.62
747	5022	400	1841.16
748	5020	machine	1838.70
749	5019	half	1836.24
750	5015	us	1833.79
751	5014	per	1831.35
752	5011	army	1828.91
753	5008	1983	1826.49
754	5003	launch	1824.06
755	4998	врем	1821.65
756	4991	paul	1819.24
757	4985	erste	1816.83
758	4950	aston	1814.44
759	4940	city	1812.05
760	4918	mill	1809.66
761	4907	1982	1807.29
762	4898	background	1804.91
763	4898	mak	1802.55
764	4885	diese	1800.19
765	4881	using	1797.84
766	4880	suspens	1795.49
767	4875	1968	1793.15
768	4873	carlo	1790.81
769	4872	spa	1788.48
770	4871	accid	1786.16
771	4871	any	1783.84
772	4869	jahre	1781.53
773	4867	pair	1779.23
774	4860	gewann	1776.93
775	4859	miss	1774.64
776	4838	avail	1772.35
777	4836	old	1770.07
778	4834	tri	1767.79
779	4828	age	1765.53
780	4827	driven	1763.26
781	4825	switch	1761.00
782	4824	na	1758.75
783	4821	once	1756.51
784	4808	gt3	1754.27
785	4808	двигател	1752.03
786	4806	hold	1749.80
787	4806	dies	1747.58
788	4800	3rd	1745.36
789	4797	300	1743.15
790	4782	ii	1740.94
791	4764	jedoch	1738.74
792	4759	respective	1736.55
793	4759	max	1734.36
794	4747	meet	1732.17
795	4736	2nd	1729.99
796	4734	sieg	1727.82
797	4730	1981	1725.65
798	4709	promot	1723.49
799	4700	flag	1721.33
800	4683	low	1719.18
801	4676	stewart	1717.03
802	4674	1973	1714.89
803	4672	1977	1712.76
804	4672	1976	1710.63
805	4671	major	1708.50
806	4656	richard	1706.38
807	4654	origin	1704.27
808	4647	motogp	1702.16
809	4638	right	1700.05
810	4634	gab	1697.96
811	4631	nhe	1695.86
812	4628	scuderia	1693.77
813	4626	i	1691.69
814	4620	sportscar	1689.61
815	4617	retire	1687.54
816	4615	along	1685.47
817	4611	también	1683.41
818	4604	1979	1681.35
819	4603	1969	1679.30
820	4602	fahrzeug	1677.25
821	4598	vom	1675.21
822	4597	werden	1673.17
823	4596	fast	1671.13
824	4594	level	1669.11
825	4593	corn	1667.08
826	4593	monza	1665.07
827	4589	nfor	1663.05
828	4575	mechan	1661.04
829	4567	sold	1659.04
830	4559	consist	1657.04
831	4555	man	1655.05
832	4554	include	1653.06
833	4548	jean	1651.07
834	4544	act	1649.09
835	4538	silverstone	1647.12
836	4526	lo	1645.15
837	4524	regul	1643.18
838	4513	Ссылк	1641.22
839	4512	modifi	1639.27
840	4500	battle	1637.31
841	4498	rosberg	1635.37
842	4494	zeit	1633.43
843	4484	eighth	1631.49
844	4473	1975	1629.55
845	4472	1974	1627.63
846	4471	1978	1625.70
847	4467	1971	1623.78
848	4455	turbo	1621.87
849	4451	move	1619.96
850	4449	schedul	1618.05
851	4435	ende	1616.15
852	4432	usa	1614.25
853	4429	60	1612.36
854	4423	gp2	1610.47
855	4421	edit	1608.59
856	4415	electr	1606.71
857	4414	imsa	1604.84
858	4410	dropp	1602.97
859	4401	juventu	1601.10
860	4395	way	1599.24
861	4394	previous	1597.38
862	4390	bereit	1595.53
863	4387	cylind	1593.68
864	4380	hora	1591.83
865	4373	average	1589.99
866	4373	caus	1588.16
867	4373	ging	1586.33
868	4362	van	1584.50
869	4350	decid	1582.67
870	4335	hand	1580.86
871	4330	tire	1579.04
872	4324	wied	1577.23
873	4320	chief	1575.42
874	4318	br	1573.62
875	4312	football	1571.82
876	4311	нов	1570.03
877	4308	saub	1568.24
878	4297	broth	1566.45
879	4287	vuelta	1564.67
880	4283	beiden	1562.89
881	4279	kg	1561.12
882	4278	1972	1559.35
883	4264	standard	1557.58
884	4263	row	1555.82
885	4263	результат	1554.06
886	4257	england	1552.31
887	4257	barrichello	1550.56
888	4254	одн	1548.81
889	4248	button	1547.07
890	4239	vari	1545.33
891	4234	lost	1543.60
892	4227	jahr	1541.87
893	4214	benz	1540.14
894	4214	failure	1538.42
895	4194	primera	1536.70
896	4186	victor	1534.98
897	4185	winston	1533.27
898	4184	defend	1531.56
899	4182	locat	1529.86
900	4181	indica	1528.16
901	4180	während	1526.46
902	4175	era	1524.77
903	4168	große	1523.08
904	4165	nissan	1521.40
905	4160	clos	1519.72
906	4151	spanish	1518.04
907	4150	gun	1516.37
908	4148	sowie	1514.70
909	4142	about	1513.03
910	4139	replace	1511.37
911	4139	punkten	1509.71
912	4138	street	1508.05
913	4125	like	1506.40
914	4123	current	1504.75
915	4119	1966	1503.11
916	4117	penalty	1501.47
917	4101	straight	1499.83
918	4087	because	1498.20
919	4073	1967	1496.57
920	4063	villeneuve	1494.94
921	4063	vier	1493.32
922	4061	superbike	1491.70
923	4049	м	1490.08
924	4046	statt	1488.47
925	4043	так	1486.86
926	4042	coche	1485.25
927	4041	fami	1483.65
928	4038	star	1482.05
929	4029	nel	1480.46
930	4025	achiev	1478.86
931	4015	mike	1477.28
932	4014	director	1475.69
933	4008	individu	1474.11
934	4007	robert	1472.53
935	4002	body	1470.96
936	4000	service	1469.38
937	3984	build	1467.82
938	3980	heat	1466.25
939	3977	great	1464.69
940	3974	given	1463.13
941	3974	mi	1461.58
942	3970	supercar	1460.03
943	3968	andretti	1458.48
944	3957	week	1456.93
945	3955	später	1455.39
946	3946	diesem	1453.85
947	3945	coulthard	1452.32
948	3944	speci	1450.78
949	3944	original	1449.26
950	3929	вс	1447.73
951	3924	beginn	1446.21
952	3921	add	1444.69
953	3917	help	1443.17
954	3916	nürburgring	1441.66
955	3908	же	1440.15
956	3906	pero	1438.64
957	3904	zurück	1437.14
958	3896	На	1435.64
959	3895	minuten	1434.14
960	3895	range	1432.65
961	3894	forc	1431.16
962	3893	contract	1429.67
963	3893	jaguar	1428.19
964	3889	death	1426.71
965	3888	weblink	1425.23
966	3881	jame	1423.75
967	3874	son	1422.28
968	3873	similar	1420.81
969	3865	nine	1419.34
970	3861	90	1417.88
971	3857	гоночн	1416.42
972	3856	away	1414.96
973	3853	techn	1413.51
974	3850	memb	1412.06
975	3850	45	1410.61
976	3847	tenth	1409.16
977	3827	across	1407.72
978	3826	without	1406.28
979	3823	mehr	1404.85
980	3819	issue	1403.41
981	3818	got	1401.98
982	3811	75	1400.55
983	3807	ninth	1399.13
984	3804	allerd	1397.71
985	3799	box	1396.29
986	3799	few	1394.87
987	3798	o	1393.46
988	3796	pet	1392.05
989	3782	fim	1390.64
990	3781	Примечани	1389.24
991	3775	mast	1387.83
992	3771	associ	1386.44
993	3748	piquet	1385.04
994	3748	very	1383.65
995	3740	чемпион	1382.26
996	3735	lewi	1380.87
997	3735	jone	1379.48
998	3734	hint	1378.10
999	3733	j	1376.72
1000	3721	injur	1375.34
